Titre;Titre VO;Réalisateur;Date de sortie;Pays
10 Cloverfield Lane;10 Cloverfield Lane;Dan Trachtenberg;10/03/2016;Etats-Unis
120 battements par minute;120 battements par minute;Robin Campillo;23/08/2017;France
2 soeurs;Janghwa Hongryeon;Kim Jee-woon;12/06/2003;Corée
20th Century Women;20th Century Women;Mike Mills;20/01/2017;Etats-Unis
A bord du Darjeeling Limited;The Darjeeling Limited;Wes Anderson;25/10/2007;Etats-Unis
À couteaux tirés;Knives Out;Rian Johnson;27/11/2019;Etats-Unis
Adieu les cons;Adieu les cons;Albert Dupontel;21/10/2020;France
Alien, le huitième passager;Alien;Ridley Scott;;Etats-Unis
Anatomie d'une chute;Anatomie d'une chute;Justine Triet;23/08/2023;France
Animatrix;The Animatrix;Lana et Lilly Wachowski;03/06/2003;Etats-Unis
Arizona Dream;Arizona Dream;Emir Kusturica;05/01/1993;France
Armageddon;Armageddon;Michael Bay;01/07/1998;Etats-Unis
Arrete moi si tu peux;Catch Me If You Can;Steven Spielberg;15/12/2002;Etats-Unis
Arsene Lupin;Arsene Lupin;Jean-Paul Salome;12/10/2004;France
Astérix : Le Secret de la potion magique;Astérix : Le Secret de la potion magique;Alexandre Astier;05/12/2018;France
Astérix et Obélix : Mission Cléopâtre;Astérix et Obélix : Mission Cléopâtre;Alain Chabat;30/01/2002;France
Au revoir là haut;Au revoir là haut;Albert Dupontel;27/07/2017;France
Aviator;The Aviator;Martin Scorsese;24/12/2004;Etats-Unis
Avril et le Monde truqué;Avril et le Monde truqué;Christian Desmares;04/11/2015;France
Babe, le cochon devenu berger;Babe;Chris Noonan;;Australie
Barb et Star vont à Vista Del Mar;Barb and Star Go to Vista Del Mar;Josh Greenbaum;12/02/2021;Etats-Unis
Be Bad!;Youth in Revolt;Miguel Arteta;07/01/2010;Etats-Unis
Beetlejuice;Beetlejuice;Tim Burton;13/12/1988;Etats-Unis
Benny and Joon;Benny and Joon;Jeremiah S. Chechik;15/04/1993;Etats-Unis
Bienvenue à Gattaca;Gattaca;Andrew Niccol;;Etats-Unis
Birds of Prey;Birds of Prey (and the Fantabulous Emancipation of One Harley Quinn);Cathy Yan;05/02/2020;Etats-Unis
Black Panther;Black Panther;Ryan Coogler;;Etats-Unis
BlacKkKlansman;BlacKkKlansman;Spike Lee;01/01/1970;Etats-Unis
Bloodsport;Bloodsport;Newt Arnold;26/02/1988;Etats-Unis
Boulevard de la mort;Death Proof;Quentin Tarantino;05/06/2007;Etats-Unis
Bowling for Columbine;Bowling for Columbine;Michael Moore;30/08/2002;Etats-Unis
Brisby et le Secret de NIMH;The Secret of NIMH;Don Bluth;02/07/1982;Etats-Unis
Bullet Train;Bullet Train;David Leitch;03/08/2022;Etats-Unis
Captain Fantastic;Captain Fantastic;Matt Ross;25/07/2016;Etats-Unis
Certains l'aiment chaud;Some Like It Hot;Billy Wilder;29/03/1959;Etats-Unis
Chicago;Chicago;Rob Marshall;23/01/2003;Etats-Unis
Citizen Kane;Citizen Kane;Orson Welles;05/09/1941;Etats-Unis
Cloud Atlas;Cloud Atlas;The Wachowski;25/10/2012;Etats-Unis
Clueless;Clueless;Amy Heckerling;19/07/1995;Etats-Unis
Comme chiens et chats;Cats and dogs;Lawrence Guterman;;Etats-Unis
Crazy Kung-fu;Gōngfu;Stephen Chow;23/12/2004;Hong Kong
Cry-Baby;Cry-Baby;John Waters;05/04/1990;Etats-Unis
Cyclo;Xich Lo;Tran Anh Hung;;Vietnam
Dallas Buyers Club;Dallas Buyers Club;Jean-Marc Vallee;01/11/2013;Etats-Unis
Dans la brume;Dans la brume;Daniel Roby;04/04/2018;France
Dead Man;Dead Man;Jim Jarmusch;09/05/1996;Etats-Unis
Deadpool;Deadpool;Tim Miller;10/01/2016;Etats-Unis
Demolition;Demolition;Jean-Marc Vallee;06/04/2016;Etats-Unis
Dernier train pour Busan;boo-san-haeng;Yeon Sang-ho;17/08/2016;Corée
Diplomatie;Diplomatie;Volker Schlondorff;05/03/2014;France
Django Unchained;Django Unchained;Quentin Tarantino;25/12/2012;Etats-Unis
Doctor Sleep;Doctor Sleep;Mike Flanagan;;Etats-Unis
Dofus, livre 1 : Julith;Dofus, livre 1 : Julith;;03/02/2016;France
Donnie Darko;Donnie Darko;Richard Kelly;26/10/2001;Etats-Unis
Dragons;How to Train Your Dragon;Dean DeBlois;26/03/2010;Etats-Unis
Dragons 2;How to Train Your Dragon 2;Dean DeBlois;02/07/2014;Etats-Unis
Drive-Away Dolls;Drive-Away Dolls;Joel et Ethan Coen;22/02/2024;Etats-Unis
Dune;Dune;Denis Villeneuve;;Etats-Unis
Dune : deuxième partie;Dune: Part Two;Denis Villeneuve;28/02/2024;Etats-Unis
Easy girl;Easy A;Will Gluck;17/09/2010;Etats-Unis
Ed Wood;Ed Wood;Tim Burton;26/09/1994;Etats-Unis
Edmond;Edmond;Alexis Michalik;09/01/2019;France
Edward aux mains d'argent;Edward Scissorhands;Tim Burton;05/12/1990;Etats-Unis
Encanto;Encanto;Jared Bush;24/11/2021;Etats-Unis
Entretien avec un vampire;Interview With The Vampire;Neil Jordan;11/11/1994;Etats-Unis
Eternal Sunshine of the Spotless Mind;Eternal Sunshine of the Spotless Mind;Michel Gondry;19/03/2004;Etats-Unis
Evangelion: 1.0 You Are (Not) Alone;Evangerion Shin Gekijoban: Jo;Hideaki Anno;;Japon
Evangelion: 2.0 You Can (Not) Advance;Evangerion Shin Gekijoban: Ha;Hideaki Anno;;Japon
Everything everywhere all at once;Everything everywhere all at once;Daniel Kwan;;Etats-Unis
Fanfan la Tulipe;Fanfan la Tulipe;Gerard Krawczyk;14/05/2003;France
Fantastic Mr. Fox;Fantastic Mr. Fox;Wes Anderson;17/02/2010;Etats-Unis
Fenêtre secrète;Secret Window;David Koepp;12/05/2004;Etats-Unis
Fight club;Fight club;David Fincher;15/10/1999;Etats-Unis
Five;Five;Igor Gotesman;30/03/2016;France
From Hell;From Hell;Albert et Allen Hughes;19/10/2001;Etats-Unis
Furyo;Senjo no Merry Christmas;Nagisa Oshima;;Japon
Gainsbourg, vie heroique;Gainsbourg, vie heroique;Joann Sfar;20/01/2010;France
Generation RX;The Chumscrubber;Arie Posin;26/08/2005;Etats-Unis
Get Out;Get Out;Jordan Peele;;Etats-Unis
Gilbert Grape;What's Eating Gilbert Grape;Lasse Hallstrom;25/12/1993;Etats-Unis
Gilda;Gilda;Charles Vidor;;Etats-Unis
Good Morning England;The Boat That Rocked;Richard Curtis;01/04/2009;Angleterre
Goodbye Lenin;Goodbye Lenin;Wolfgang Becker;13/02/2003;Allemagne
Gremlins;Gremlins;Joe Dante;08/06/1984;Etats-Unis
Gremlins 2 : La Nouvelle Génération;Gremlins 2: The New Batch;Joe Dante;15/06/1990;Etats-Unis
Hana et Alice mènent l'enquête;Hana to Arisu Satsujin Jiken;Iwai Shunji;20/02/2015;Japon
Harriet;Harriet;Kasi Lemmons;01/11/2019;Etats-Unis
Harvey Milk;Milk;Gus Van Sant;26/11/2008;Etats-Unis
Hunger Games;The Hunger Games;Gary Ross;21/03/2012;Etats-Unis
Hunger Games : L'Embrasement;The Hunger Games: Catching Fire;Francis Lawrence;22/11/2013;Etats-Unis
Hunger Games : La Révolte, partie 1;The Hunger Games: Mokingjay - Part 1;Francis Lawrence;19/11/2014;Etats-Unis
Hunger Games : La Révolte, partie 2;The Hunger Games: Mockingjay - Part 2;Francis Lawrence;19/11/2015;Etats-Unis
I Love You Phillip Morris;I Love You Phillip Morris;Glenn Ficarra;10/02/2010;Etats-Unis
Identity;Identity;James Mangold;;Etats-Unis
Il etait une fois au Mexique... Desperado 2;Once Upon a Time in Mexico;Robert Rodriguez;12/09/2003;Etats-Unis
Il était une fois dans l'Ouest;C'era una volta il West;Sergio Leone;;Italie
In The Mood For Love;花樣年華;Wong Kar-wai;29/09/2000;Chine
Incassable;Unbreakable;M. Night Shyamalan;;Etats-Unis
Inception;Inception;Christopher Nolan;;Etats-Unis
Independence Day;Independence Day;Roland Emmerich;03/07/1996;Etats-Unis
Inglourious Basterds;Inglourious Basterds;Quentin Tarantino;18/08/2009;Etats-Unis
Inside Job;Inside Job;Charles Ferguson;08/10/2010;Etats-Unis
Interstellar;Interstellar;Christopher Nolan;07/11/2014;Etats-Unis
J'ai tué ma mère;J'ai tué ma mère;Xavier Dolan;15/07/2009;Canada
Jack et la Mécanique du cœur;Jack et la Mécanique du cœur;Matthias Malzieu;05/02/2014;France
John Wick;John Wick;Chad Stahelski;24/10/2014;Etats-Unis
